date,cash,holdings_value,total_equity,peak_equity,drawdown
2025-01-03,0.0,1066.5397027458491,1066.5397027458491,1107.798667295964,0.03724410018548243
2025-01-06,0.0,1055.4223276376902,1055.4223276376902,1107.798667295964,0.04727965577546655
2025-01-07,0.0,1047.7024003610518,1047.7024003610518,1107.798667295964,0.0542483654377394
2025-01-08,205.31486337889922,825.0157262411724,1030.3305896200716,1107.798667295964,0.06992974442277033
2025-01-10,255.72397616026035,766.4047565523005,1022.1287327125608,1107.798667295964,0.07733348767471951
2025-01-13,203.81728244403246,814.453860646354,1018.2711430903864,1107.798667295964,0.08081569950260552
2025-01-14,5.684341886080802e-14,1030.3755715505704,1030.3755715505704,1107.798667295964,0.06988913963434917
2025-01-15,0.0,1027.9166227311318,1027.9166227311318,1107.798667295964,0.07210881085442801
2025-01-16,0.0,1043.0605020806374,1043.0605020806374,1107.798667295964,0.05843856571279913
2025-01-17,0.0,1055.9308606007137,1055.9308606007137,1107.798667295964,0.04682060759456847
2025-01-21,0.0,1056.8424483618328,1056.8424483618328,1107.798667295964,0.04599772543372943
2025-01-22,1061.3914197616755,0.0,1061.3914197616755,1107.798667295964,0.041891409426917194
2025-01-23,5.684341886080802e-14,1060.3300283419137,1060.3300283419137,1107.798667295964,0.042849518017490366
2025-01-24,217.22034867712992,863.0163863604395,1080.2367350375694,1107.798667295964,0.024879911009164455
2025-01-27,0.0,1077.5736629718056,1077.5736629718056,1107.798667295964,0.027283842467453818
2025-01-28,5.684341886080802e-14,1081.533824208964,1081.533824208964,1107.798667295964,0.023709040155383124
2025-01-29,0.0,1092.1755797847568,1092.1755797847568,1107.798667295964,0.014102822085299734
2025-01-30,0.0,1093.384851449187,1093.384851449187,1107.798667295964,0.01301122331367286
2025-01-31,0.0,1080.5889952932375,1080.5889952932375,1107.798667295964,0.024561928810713174
2025-02-03,0.0,1085.1991217776754,1085.1991217776754,1107.798667295964,0.020400408653182434
2025-02-04,0.0,1088.2312071159377,1088.2312071159377,1107.798667295964,0.01766337219721402
2025-02-05,5.684341886080802e-14,1098.9460672058246,1098.9460672058246,1107.798667295964,0.007991163332726939
2025-02-06,219.6412067848751,877.6862623123611,1097.3274690972362,1107.798667295964,0.009452257443391749
2025-02-07,223.736483559891,890.5599835603848,1114.2964671202758,1114.2964671202758,0.0
2025-02-10,222.27062718451046,895.1488092201611,1117.4194364046716,1117.4194364046716,0.0
2025-02-11,5.684341886080802e-14,1124.0391686266532,1124.0391686266532,1124.0391686266532,0.0
2025-02-12,5.684341886080802e-14,1121.3101601609608,1121.3101601609608,1124.0391686266532,0.002427858869924214
2025-02-13,0.0,1123.6257801988177,1123.6257801988177,1124.0391686266532,0.0003677704828921996
2025-02-14,226.33459089387102,898.834529711372,1125.169120605243,1125.169120605243,0.0
2025-02-18,5.684341886080802e-14,1122.6938493865582,1122.6938493865582,1125.169120605243,0.0021999103720099942
2025-02-19,226.14269659943423,897.8525423242914,1123.9952389237258,1125.169120605243,0.0010432935458501034
2025-02-20,0.0,1099.5283555797698,1099.5283555797698,1125.169120605243,0.022788365371848036
2025-02-21,868.0732925159953,222.3499155649341,1090.4232080809293,1125.169120605243,0.030880613312266787
2025-02-24,5.684341886080802e-14,1088.2705143592373,1088.2705143592373,1125.169120605243,0.032793831229706645
2025-02-25,5.684341886080802e-14,1069.0506991538966,1069.0506991538966,1125.169120605243,0.04987554352821165
2025-02-26,0.0,1062.0555137645028,1062.0555137645028,1125.169120605243,0.056092551497316755
2025-02-27,1090.8702112491474,0.0,1090.8702112491474,1125.169120605243,0.03048333688507721
2025-02-28,5.684341886080802e-14,1089.7793410378981,1089.7793410378981,1125.169120605243,0.03145285354819221
2025-03-03,0.0,1086.5835326052695,1086.5835326052695,1125.169120605243,0.034293145175560674
2025-03-04,0.0,1101.9858166568208,1101.9858166568208,1125.169120605243,0.020604283857302834
2025-03-05,0.0,1104.8988465020093,1104.8988465020093,1125.169120605243,0.018015313193389202
2025-03-06,1036.7999298975008,0.0,1036.7999298975008,1125.169120605243,0.07853858507973216
2025-03-07,0.0,1035.7631299676032,1035.7631299676032,1125.169120605243,0.0794600464946525
2025-03-10,1033.477209636116,0.0,1033.477209636116,1125.169120605243,0.0814916702653596
2025-03-11,206.69544192722313,825.9549859411838,1032.650427868407,1125.169120605243,0.08222647692914742
2025-03-12,5.684341886080802e-14,1058.0370579930072,1058.0370579930072,1125.169120605243,0.05966397529299827
2025-03-13,355.8956021836023,711.0794131628377,1066.97501534644,1125.169120605243,0.05172031847754563
2025-03-14,179.96513506569806,907.2964868199324,1087.2616218856306,1125.169120605243,0.03369048974541849
2025-03-17,214.32445682801324,856.4405294847411,1070.7649863127544,1125.169120605243,0.04835196175951213
2025-03-18,1074.6238174731002,0.0,1074.6238174731002,1125.169120605243,0.044922405180257606
2025-03-19,0.0,1073.549193655627,1073.549193655627,1125.169120605243,0.04587748277507738
2025-03-20,214.5281440595237,857.2544636618569,1071.7826077213806,1125.169120605243,0.04744754535668838
2025-03-21,215.4132349779359,862.5182354826552,1077.931470460591,1125.169120605243,0.041982711113901026
2025-03-24,0.0,1081.4805490807646,1081.4805490807646,1125.169120605243,0.038828448741090406
2025-03-25,0.0,1087.4037241644878,1087.4037241644878,1125.169120605243,0.03356419559438384
2025-03-26,0.0,1088.5539346706146,1088.5539346706146,1125.169120605243,0.03254193993071254
2025-03-27,210.31181882246267,846.0421843643994,1056.354003186862,1125.169120605243,0.061159799143229714
2025-03-28,1061.262024124378,0.0,1061.262024124378,1125.169120605243,0.05679776960683789
2025-03-31,0.0,1060.2007621002535,1060.2007621002535,1125.169120605243,0.057740971837231175
2025-04-01,5.684341886080802e-14,1057.7567017675815,1057.7567017675815,1125.169120605243,0.059913143369415924
2025-04-02,200.71441337707816,811.4211011397059,1012.135514516784,1125.169120605243,0.10045921454692675
2025-04-03,194.25426774318865,780.8027621277531,975.0570298709417,1125.169120605243,0.1334129136547527
2025-04-04,0.0,960.9701979213374,960.9701979213374,1125.169120605243,0.14593265996811294
2025-04-07,228.708462514207,685.4392621550785,914.1477246692855,1125.169120605243,0.18754638042541233
2025-04-08,197.842937846394,856.4383642419255,1054.2813020883195,1125.169120605243,0.06300192319425904
2025-04-09,5.684341886080802e-14,1007.4597389912577,1007.4597389912578,1125.169120605243,0.10461483474650266
2025-04-10,201.56808471618027,807.6047305741595,1009.1728152903397,1125.169120605243,0.10309232913582575
2025-04-11,203.89030865806322,814.7456733976209,1018.635982055684,1125.169120605243,0.09468188968095165
2025-04-14,5.684341886080802e-14,1014.9350628585919,1014.9350628585919,1125.169120605243,0.09797110116864462
2025-04-15,0.0,1009.0041095238473,1009.0041095238473,1125.169120605243,0.10324226727703749
2025-04-16,609.7512680177078,368.4586253412667,978.2098933589746,1125.169120605243,0.13061078957376399
2025-04-17,192.95061402738713,771.0306536534392,963.9812676808264,1125.169120605243,0.1432565558124379
2025-04-21,5.684341886080802e-14,984.4988943742723,984.4988943742724,1125.169120605243,0.12502140669777922
2025-04-22,201.7618332242497,799.0568762213785,1000.8187094456282,1125.169120605243,0.11051708483852202
2025-04-23,0.0,1008.3374472704295,1008.3374472704295,1125.169120605243,0.103834766876617
2025-04-24,0.0,1003.6491274921997,1003.6491274921997,1125.169120605243,0.10800153584705222
2025-04-25,200.69871983131273,801.8704268767797,1002.5691467080924,1125.169120605243,0.10896137447426797
2025-04-28,799.8229447584596,202.06200496568732,1001.884949724147,1125.169120605243,0.10956945815823664
2025-04-29,5.684341886080802e-14,1001.6437076613776,1001.6437076613777,1125.169120605243,0.1097838633159604
2025-04-30,198.4888194703772,791.3170644370326,989.8058839074098,1125.169120605243,0.12030479171435102
2025-05-01,0.0,996.0532124018262,996.0532124018262,1125.169120605243,0.11475244551144789
2025-05-02,198.46490617673965,793.0657650822518,991.5306712589914,1125.169120605243,0.11877187784389759
2025-05-05,5.684341886080802e-14,985.890811853313,985.8908118533132,1125.169120605243,0.12378433268503698
2025-05-06,197.31230982453977,794.4422203533197,991.7545301778595,1125.169120605243,0.11857292204714803
2025-05-07,201.35509919504864,804.6149763834146,1005.9700755784633,1125.169120605243,0.10593878097424242
2025-05-08,200.77141010117828,802.2825547643087,1003.0539648654869,1125.169120605243,0.10853048977567817
2025-05-09,5.684341886080802e-14,1026.40038319663,1026.40038319663,1125.169120605243,0.08778123714902887
2025-05-12,0.0,1052.6862845811145,1052.6862845811145,1125.169120605243,0.06441950342997248
2025-05-13,205.78888725462778,822.3323934694928,1028.1212807241207,1125.169120605243,0.08625178038028551
2025-05-14,205.7862172876736,829.3892553917309,1035.1754726794045,1125.169120605243,0.07998233001402474
2025-05-15,0.0,1052.0515073993606,1052.0515073993606,1125.169120605243,0.06498366500366765
2025-05-16,1061.6420341577889,0.0,1061.6420341577889,1125.169120605243,0.056460033682120714
2025-05-19,0.0,1060.580392123631,1060.580392123631,1125.169120605243,0.05740357364843859
2025-05-20,199.64757609473065,797.791714074544,997.4392901692746,1125.169120605243,0.11352056157323345
2025-05-21,5.684341886080802e-14,996.5576793933159,996.557679393316,1125.169120605243,0.11430409780775472
2025-05-22,0.0,987.5376239767859,987.5376239767859,1125.169120605243,0.12232071971049419
2025-05-23,0.0,1005.5748273292347,1005.5748273292347,1125.169120605243,0.10629005994376828
2025-05-27,5.684341886080802e-14,1005.0539583226117,1005.0539583226118,1125.169120605243,0.1067529850250598
2025-05-28,200.1506793034531,799.8021144965988,999.952793800052,1125.169120605243,0.11128667194300143
2025-05-29,199.53601146954114,797.3459018322866,996.8819133018277,1125.169120605243,0.11401593320869667
2025-05-30,199.87310632709628,798.692932883077,998.5660392101732,1125.169120605243,0.11251915741072628
2025-06-02,1009.5210439878421,0.0,1009.5210439878421,1125.169120605243,0.1027828390412922
2025-06-03,1009.5210439878421,0.0,1009.5210439878421,1125.169120605243,0.1027828390412922
2025-06-04,0.0,1008.5115229438542,1008.5115229438542,1125.169120605243,0.10368005620225094
2025-06-05,0.0,1013.5377623213877,1013.5377623213877,1125.169120605243,0.09921295940276727
2025-06-06,0.0,1022.2399076746635,1022.2399076746635,1125.169120605243,0.0914788817482056
2025-06-09,0.0,1023.0653221107243,1023.0653221107243,1125.169120605243,0.09074529030764351
2025-06-10,0.0,1022.6306160218945,1022.6306160218945,1125.169120605243,0.09113163764056352
2025-06-11,1026.0540624472023,0.0,1026.0540624472023,1125.169120605243,0.08808903154463166
2025-06-12,1026.0540624472023,0.0,1026.0540624472023,1125.169120605243,0.08808903154463166
2025-06-13,0.0,1025.0280083847551,1025.0280083847551,1125.169120605243,0.08900094251308702
2025-06-16,761.884410604777,256.14828945863854,1018.0327000634156,1125.169120605243,0.09521805973860832
2025-06-17,204.01143441097614,815.2296919062609,1019.241126317237,1125.169120605243,0.09414406452163034
2025-06-18,203.5827211695827,813.5165537936526,1017.0992749632353,1125.169120605243,0.09604764622750718
2025-06-20,204.85814543649496,818.6131491642341,1023.471294600729,1125.169120605243,0.09038448011247362
2025-06-23,617.1851267927711,420.80404994332866,1037.9891767360998,1125.169120605243,0.07748163566935433
2025-06-24,0.0,1029.5968516289954,1029.5968516289954,1125.169120605243,0.08494035894340762
2025-06-25,0.0,1029.1637300912105,1029.1637300912105,1125.169120605243,0.08532529799821562
2025-06-26,1022.9781542375672,0.0,1022.9781542375672,1125.169120605243,0.0908227612154038
2025-06-27,0.0,1021.9551760833297,1021.9551760833297,1125.169120605243,0.09173193845418835
2025-06-30,0.0,1036.8645621702174,1036.8645621702174,1125.169120605243,0.07848114280591482
2025-07-01,5.684341886080802e-14,1043.3886489844347,1043.3886489844347,1125.169120605243,0.07268282618422518
2025-07-02,0.0,1044.8327821037965,1044.8327821037965,1125.169120605243,0.07139934524530198
2025-07-03,1056.8885068175396,0.0,1056.8885068175396,1125.169120605243,0.06068475621778036
2025-07-07,5.684341886080802e-14,1055.831618310722,1055.831618310722,1125.169120605243,0.061624071461562624
2025-07-08,0.0,1049.8135062016643,1049.8135062016643,1125.169120605243,0.06697270039107012
2025-07-09,0.0,1051.264922403088,1051.264922403088,1125.169120605243,0.06568274657448929
2025-07-10,843.1246919306092,207.75842276427312,1050.8831146948824,1125.169120605243,0.06602208019217706
2025-07-11,5.684341886080802e-14,1051.9156520785168,1051.9156520785168,1125.169120605243,0.06510440713776632
2025-07-14,0.0,1046.1561390080788,1046.1561390080788,1125.169120605243,0.0702232048055693
2025-07-15,208.11917949618703,835.3919674873523,1043.5111469835392,1125.169120605243,0.07257395544038656
2025-07-16,209.3086397575463,836.3973244711552,1045.7059642287015,1125.169120605243,0.0706233000189316
2025-07-17,0.0,1040.324824700192,1040.324824700192,1125.169120605243,0.07540581620246756
2025-07-18,0.0,1039.160406039025,1039.160406039025,1125.169120605243,0.07644069943898996
2025-07-21,0.0,1030.4053159290982,1030.4053159290982,1125.169120605243,0.0842218320257227
2025-07-22,0.0,1044.566723884735,1044.566723884735,1125.169120605243,0.07163580589302966
2025-07-23,5.684341886080802e-14,1046.440826627718,1046.440826627718,1125.169120605243,0.06997018717966243
2025-07-24,0.0,1028.8897399526,1028.8897399526,1125.169120605243,0.08556880818134538
2025-07-25,0.0,1021.537636527111,1021.537636527111,1125.169120605243,0.0921030289405626
2025-07-28,0.0,1021.7779556349875,1021.7779556349875,1125.169120605243,0.09188944406387557
2025-07-29,0.0,1021.0338295942759,1021.0338295942759,1125.169120605243,0.09255079001363943
2025-07-30,5.684341886080802e-14,1024.8733031325282,1024.8733031325282,1125.169120605243,0.08913843762328315
2025-07-31,0.0,992.5330350045386,992.5330350045386,1125.169120605243,0.1178810217697387
2025-08-01,5.684341886080802e-14,1006.0188747606915,1006.0188747606915,1125.169120605243,0.10589541044323997
2025-08-04,270.98026612958296,745.5622783994406,1016.5425445290236,1125.169120605243,0.09654244334201757
2025-08-05,202.89342597877547,810.762130211187,1013.6555561899625,1125.169120605243,0.09910826947978807
2025-08-06,0.0,1005.8844031479799,1005.8844031479799,1125.169120605243,0.10601492279942622
2025-08-07,5.684341886080802e-14,1017.8183611446663,1017.8183611446664,1125.169120605243,0.09540855458495992
2025-08-08,5.684341886080802e-14,1010.3232770644569,1010.323277064457,1125.169120605243,0.10206985015640048
2025-08-11,0.0,1022.2368000920433,1022.2368000920433,1125.169120605243,0.09148164362867615
2025-08-12,201.25961928650088,804.2334386688577,1005.4930579553586,1125.169120605243,0.10636273290677328
2025-08-13,5.684341886080802e-14,996.0804507117831,996.0804507117832,1125.169120605243,0.11472823731957855
2025-08-14,5.684341886080802e-14,998.6149611848743,998.6149611848743,1125.169120605243,0.11247567774726486
2025-08-15,0.0,991.2023690793482,991.2023690793482,1125.169120605243,0.11906365814041577
2025-08-18,5.684341886080802e-14,990.7415417796398,990.7415417796399,1125.169120605243,0.1194732208374976
2025-08-19,5.684341886080802e-14,984.3667501878356,984.3667501878356,1125.169120605243,0.12513885054156842
2025-08-20,0.0,978.6016523798515,978.6016523798515,1125.169120605243,0.13026261167436853
2025-08-21,5.684341886080802e-14,982.0098751396336,982.0098751396336,1125.169120605243,0.12723353569159657
2025-08-22,0.0,968.638854732234,968.638854732234,1125.169120605243,0.13911710071532127
2025-08-25,5.684341886080802e-14,963.1370431861849,963.1370431861849,1125.169120605243,0.1440068647919337
2025-08-26,5.684341886080802e-14,967.1867961726437,967.1867961726437,1125.169120605243,0.14040762543111623
2025-08-27,242.35343110207864,726.3332330129299,968.6866641150085,1125.169120605243,0.1390746098738122
2025-08-28,0.0,961.7793213610818,961.7793213610818,1125.169120605243,0.14521354723658947
2025-08-29,1.4210854715202004e-14,966.1871136610735,966.1871136610735,1125.169120605243,0.14129609854441358
2025-09-02,0.0,974.2614039752535,974.2614039752535,1125.169120605243,0.13412003037269127
2025-09-03,5.684341886080802e-14,980.3423934460942,980.3423934460943,1125.169120605243,0.1287155188557295
2025-09-04,5.684341886080802e-14,989.0946379169017,989.0946379169018,1125.169120605243,0.12093691534579713
2025-09-05,5.684341886080802e-14,990.5877219365079,990.5877219365079,1125.169120605243,0.11960992903568314
2025-09-08,0.0,985.1853241902704,985.1853241902704,1125.169120605243,0.12441133857252813
2025-09-09,159.87626030083348,829.7081313564693,989.5843916573027,1125.169120605243,0.12050164412173661
2025-09-10,0.0,976.606789908838,976.606789908838,1125.169120605243,0.13203555623397437
2025-09-11,5.684341886080802e-14,960.7241151921345,960.7241151921346,1125.169120605243,0.1461513672937019
2025-09-12,5.684341886080802e-14,959.9915758849228,959.9915758849229,1125.169120605243,0.1468024154728571
2025-09-15,0.0,956.4452116014013,956.4452116014013,1125.169120605243,0.14995426546462898
2025-09-16,2.842170943040401e-14,938.8009768113585,938.8009768113585,1125.169120605243,0.16563567234553567
2025-09-17,5.684341886080802e-14,941.0220044072573,941.0220044072573,1125.169120605243,0.16366172233639917
2025-09-18,206.51021493565864,736.4208563771231,942.9310713127817,1125.169120605243,0.1619650290388641
2025-09-19,0.0,946.141137726219,946.141137726219,1125.169120605243,0.15911206555572963
2025-09-22,0.0,946.7127049221558,946.7127049221558,1125.169120605243,0.1586040821908561
2025-09-23,0.0,963.040620322442,963.040620322442,1125.169120605243,0.14409256112146948
2025-09-24,198.8639503526639,743.2811357576261,942.14508611029,1125.169120605243,0.16266357753979427
2025-09-25,182.64883191812126,765.6525165003219,948.3013484184431,1125.169120605243,0.15719216689101853
2025-09-26,5.684341886080802e-14,947.4015720484512,947.4015720484513,1125.169120605243,0.15799184789320234
2025-09-29,0.0,944.7119081868703,944.7119081868703,1125.169120605243,0.16038230085918323
2025-09-30,5.684341886080802e-14,952.728202738363,952.728202738363,1125.169120605243,0.15325777672793028
2025-10-01,191.29450405691355,757.9293462103383,949.2238502672518,1125.169120605243,0.15637228849948176
2025-10-02,568.6228882887722,383.5697547768659,952.1926430656381,1125.169120605243,0.15373375821632812
2025-10-03,0.0,943.7788175220819,943.7788175220819,1125.169120605243,0.1612115901168608
2025-10-06,5.684341886080802e-14,943.3651421246472,943.3651421246473,1125.169120605243,0.1615792463117021
2025-10-07,195.42870527514881,769.2351333051581,964.6638385803069,1125.169120605243,0.14264991731962773
2025-10-08,0.0,970.6494944043287,970.6494944043287,1125.169120605243,0.13733013408490646
2025-10-09,0.0,938.1208340900816,938.1208340900816,1125.169120605243,0.16624015278213972
2025-10-10,0.0,949.3978557094176,949.3978557094176,1125.169120605243,0.15621764024351806
2025-10-13,0.0,947.5810289217627,947.5810289217627,1125.169120605243,0.15783235464900905
2025-10-14,5.684341886080802e-14,950.4456653430177,950.4456653430177,1125.169120605243,0.15528639389626986
2025-10-15,189.1090049020526,763.8990683276379,953.0080732296905,1125.169120605243,0.15300904035025856
2025-10-16,187.8654020505775,750.7101465941079,938.5755486446853,1125.169120605243,0.1658360228195621
2025-10-17,188.121689157475,751.9913769496329,940.1130661071079,1125.169120605243,0.16446954605241132
2025-10-20,0.0,945.9037095437218,945.9037095437218,1125.169120605243,0.15932308110721352
2025-10-21,0.0,946.4941507629109,946.4941507629109,1125.169120605243,0.1587983233544666
2025-10-22,946.8141033169476,0.0,946.8141033169476,1125.169120605243,0.1585139638318158
2025-10-23,189.36282066338947,756.6938313709046,946.0566520342941,1125.169120605243,0.1591871526607503
2025-10-24,0.0,951.066683112511,951.066683112511,1125.169120605243,0.15473446107290975
2025-10-27,954.9949414625676,0.0,954.9949414625676,1125.169120605243,0.1512432007120286
2025-10-28,0.0,954.039946521105,954.039946521105,1125.169120605243,0.15209195751131657
2025-10-29,0.0,971.7842841352756,971.7842841352756,1125.169120605243,0.13632158371664144
2025-10-30,0.0,981.5574398544055,981.5574398544055,1125.169120605243,0.1276356399414756
2025-10-31,0.0,982.0164245045975,982.0164245045975,1125.169120605243,0.1272277149088858
2025-11-03,202.5456693118414,766.7149254753042,969.2605947871456,1125.169120605243,0.13856452595697993
2025-11-04,0.0,978.5581902201773,978.5581902201773,1125.169120605243,0.13030123889838166
2025-11-05,0.0,978.113456467525,978.113456467525,1125.169120605243,0.1306964983704982
2025-11-06,194.17049973940962,778.5005262994589,972.6710260388685,1125.169120605243,0.1355334871653284
2025-11-07,197.41157773563387,788.1015779941595,985.5131557297933,1125.169120605243,0.12411997655990327
2025-11-10,199.81046641926798,798.442623811395,998.253090230663,1125.169120605243,0.11279729246951806
2025-11-11,5.684341886080802e-14,984.7396403474261,984.7396403474261,1125.169120605243,0.12480744244232204
2025-11-12,0.0,980.7318892263445,980.7318892263445,1125.169120605243,0.1283693524233974
2025-11-13,980.5710401378908,0.0,980.5710401378908,1125.169120605243,0.12851230790049684
2025-11-14,5.684341886080802e-14,979.5904690977529,979.5904690977529,1125.169120605243,0.12938379559259633
2025-11-17,194.29105819260587,776.3870685376532,970.6781267302591,1125.169120605243,0.1373046869539765
2025-11-18,193.02961424344323,771.3463385167994,964.3759527602426,1125.169120605243,0.14290577736305782
2025-11-19,5.684341886080802e-14,948.6826026073297,948.6826026073297,1125.169120605243,0.15685332521654963
2025-11-20,190.71337056759958,759.2415329852539,949.9549035528535,1125.169120605243,0.15572256102988286
2025-11-21,0.0,954.9875357072995,954.9875357072995,1125.169120605243,0.15124978261614638
2025-11-24,5.684341886080802e-14,956.0844099251797,956.0844099251797,1125.169120605243,0.15027492986042001
2025-11-25,5.684341886080802e-14,962.7114349165784,962.7114349165784,1125.169120605243,0.14438512638995693
2025-11-26,0.0,969.502555203077,969.502555203077,1125.169120605243,0.13834948235908837
2025-11-28,0.0,973.7672512326362,973.7672512326362,1125.169120605243,0.1345592112332107
2025-12-01,195.7970458139224,782.6221328425307,978.4191786564531,1125.169120605243,0.13042478616001407
2025-12-02,5.684341886080802e-14,989.6919091333305,989.6919091333305,1125.169120605243,0.12040608739692185
2025-12-03,5.684341886080802e-14,984.9148931776531,984.9148931776531,1125.169120605243,0.12465168556362922
2025-12-04,5.684341886080802e-14,980.9971351179576,980.9971351179577,1125.169120605243,0.12813361373598078
2025-12-05,0.0,980.6558245516466,980.6558245516466,1125.169120605243,0.1284369553048709
2025-12-08,195.86862185070166,782.3075002561563,978.176122106858,1125.169120605243,0.13064080395248995
2025-12-09,198.7109066983038,792.5621339875131,991.2730406858169,1125.169120605243,0.11900084837682152
2025-12-10,0.0,991.3251895511073,991.3251895511073,1125.169120605243,0.11895450079730178
2025-12-11,5.684341886080802e-14,989.567433850083,989.567433850083,1125.169120605243,0.12051671546248809
2025-12-12,0.0,988.5864923203453,988.5864923203453,1125.169120605243,0.12138853242917666
2025-12-15,5.684341886080802e-14,980.610533860762,980.610533860762,1125.169120605243,0.12847720764565698
2025-12-16,193.3540405039346,772.6427458537229,965.9967863576575,1125.169120605243,0.14146525294078877
2025-12-17,0.0,969.3582558559535,969.3582558559535,1125.169120605243,0.13847772916615134
2025-12-18,0.0,1001.044674600844,1001.044674600844,1125.169120605243,0.11031625711309148
2025-12-19,200.64926803494578,801.7944750676436,1002.4437431025893,1125.169120605243,0.10907282759114305
2025-12-22,199.91874123964533,796.578780358035,996.4975215976804,1125.169120605243,0.11435756336642848
2025-12-23,0.0,999.6340704604978,999.6340704604978,1125.169120605243,0.11156993899478712
2025-12-24,5.684341886080802e-14,996.6291166522542,996.6291166522542,1125.169120605243,0.11424060756648345
2025-12-26,197.79305852280496,790.3810618571289,988.1741203799338,1125.169120605243,0.12175503016970271
2025-12-29,5.684341886080802e-14,984.2808153568727,984.2808153568728,1125.169120605243,0.1252152255765645
2025-12-30,195.96836668889424,783.0895932888216,979.0579599777158,1125.169120605243,0.12985706588617735
2025-12-31,5.684341886080802e-14,988.601714110057,988.601714110057,1125.169120605243,0.12137500398315652
2026-01-02,0.0,1002.7976946806986,1002.7976946806986,1125.169120605243,0.10875825125623721
2026-01-05,5.684341886080802e-14,1008.297901654146,1008.297901654146,1125.169120605243,0.10386991325200116
2026-01-06,5.684341886080802e-14,1013.9759995909678,1013.9759995909678,1125.169120605243,0.09882347371430084
2026-01-07,5.684341886080802e-14,1014.9912976406276,1014.9912976406276,1125.169120605243,0.0979211222090323
2026-01-08,0.0,1041.8333019863067,1041.8333019863067,1125.169120605243,0.07406514904542437
2026-01-09,0.0,1056.8223135724693,1056.8223135724693,1125.169120605243,0.06074358581402335
2026-01-12,216.34602561477834,857.4247738001753,1073.7707994149537,1125.169120605243,0.045680529485773266
2026-01-13,0.0,1086.7755781071626,1086.7755781071626,1125.169120605243,0.034122463721212054
2026-01-14,217.69849179855544,869.9231732270277,1087.6216650255833,1125.169120605243,0.033370499502743636
2026-01-15,216.66867690927396,865.8080329294589,1082.4767098387329,1125.169120605243,0.03794310560491155
